date,event_id,teams,market_key,player_name,player_id,sportsbook,odds_raw,odds_decimal,implied_prob,b,mu_raw_from_source,mu_after_all_multipliers,mu_after_rounding_or_bucketing,rounding_function_line,mult_opp_sog,mult_opp_g,mult_goalie,mult_itt,mult_b2b,source_columns,source_prob_column,ProbSource,input_file,missing_fields,fallback_value,fallback_reason,mu_quantized_flag,distribution_name,threshold_definition,p_model_computed,p_model_used_in_ev,p_model_diff,mu_1d_flag,ev_roi,ev_percent,kelly_full,kelly_1_10,kelly_1_4
2026-01-06,anaheim-ducks-at-washington-capitals,anaheim-ducks-at-washington-capitals,Player 1+ Goals,Beckett Sennecke,,PlayNow,3.65,3.65,0.273972602739726,2.65,0.02778997847477913,0.0279,0.0279,"2_Projections/single_game_probs.py:round(..., 4)",0.999,1.009,0.996,1.0,1.0,"['mu_adj_G', 'p_G_1plus']",p_G_1plus,Raw,2_Projections\SingleGamePropProbabilities.csv,[],1.0,None,True,Poisson,P(X >= 1),0.027514389499969094,0.0276,8.561050003090542e-05,False,-0.89926,-89.92599999999999,-0.3393433962264151,-0.03393433962264151,-0.08483584905660377
2026-01-06,anaheim-ducks-at-washington-capitals,anaheim-ducks-at-washington-capitals,Player 1+ Goals,Troy Terry,,PlayNow,3.4,3.4,0.29411764705882354,2.4,0.03496158582310922,0.0351,0.0351,"2_Projections/single_game_probs.py:round(..., 4)",0.999,1.009,0.996,1.0,1.0,"['mu_adj_G', 'p_G_1plus']",p_G_1plus,Raw,2_Projections\SingleGamePropProbabilities.csv,[],1.0,None,True,Poisson,P(X >= 1),0.03449113945619309,0.0345,8.860543806915588e-06,False,-0.8827,-88.27000000000001,-0.3677916666666667,-0.03677916666666667,-0.09194791666666667
2026-01-06,anaheim-ducks-at-washington-capitals,anaheim-ducks-at-washington-capitals,Player 1+ Goals,Trevor van Riemsdyk,,PlayNow,23.0,23.0,0.043478260869565216,22.0,0.0019339208337284335,0.002,0.002,"2_Projections/single_game_probs.py:round(..., 4)",0.978,1.009,1.048,1.0,1.0,"['mu_adj_G', 'p_G_1plus']",p_G_1plus,Raw,2_Projections\SingleGamePropProbabilities.csv,[],1.0,None,True,Poisson,P(X >= 1),0.001998001332666921,0.002,1.9986673330790045e-06,False,-0.954,-95.39999999999999,-0.04336363636363636,-0.0043363636363636365,-0.01084090909090909
2026-01-06,anaheim-ducks-at-washington-capitals,anaheim-ducks-at-washington-capitals,Player 1+ Goals,Ian Moore,,PlayNow,20.0,20.0,0.05,19.0,0.005279099853631877,0.0053,0.0053,"2_Projections/single_game_probs.py:round(..., 4)",0.999,1.009,0.996,1.0,1.0,"['mu_adj_G', 'p_G_1plus']",p_G_1plus,Raw,2_Projections\SingleGamePropProbabilities.csv,[],1.0,None,True,Poisson,P(X >= 1),0.0052859797799911235,0.0053,1.4020220008876573e-05,False,-0.894,-89.4,-0.04705263157894737,-0.004705263157894737,-0.011763157894736842
2026-01-06,anaheim-ducks-at-washington-capitals,anaheim-ducks-at-washington-capitals,Player 1+ Goals,Jansen Harkins,,PlayNow,9.0,9.0,0.1111111111111111,8.0,0.014044397723813107,0.0141,0.0141,"2_Projections/single_game_probs.py:round(..., 4)",0.999,1.009,0.996,1.0,1.0,"['mu_adj_G', 'p_G_1plus']",p_G_1plus,Raw,2_Projections\SingleGamePropProbabilities.csv,[],1.0,None,True,Poisson,P(X >= 1),0.014001060561241063,0.014,-1.060561241062949e-06,False,-0.874,-87.4,-0.10925,-0.010925,-0.0273125
2026-01-06,anaheim-ducks-at-washington-capitals,anaheim-ducks-at-washington-capitals,Player 1+ Goals,Ethen Frank,,PlayNow,5.25,5.25,0.19047619047619047,4.25,0.010443172502133542,0.0108,0.0108,"2_Projections/single_game_probs.py:round(..., 4)",0.978,1.009,1.048,1.0,1.0,"['mu_adj_G', 'p_G_1plus']",p_G_1plus,Raw,2_Projections\SingleGamePropProbabilities.csv,[],1.0,None,True,Poisson,P(X >= 1),0.010741889386351788,0.0108,5.811061364821221e-05,False,-0.9433,-94.33,-0.2219529411764706,-0.022195294117647063,-0.05548823529411765
2026-01-06,anaheim-ducks-at-washington-capitals,anaheim-ducks-at-washington-capitals,Player 1+ Goals,Jacob Trouba,,PlayNow,11.0,11.0,0.09090909090909091,10.0,0.008765297870181231,0.0088,0.0088,"2_Projections/single_game_probs.py:round(..., 4)",0.999,1.009,0.996,1.0,1.0,"['mu_adj_G', 'p_G_1plus']",p_G_1plus,Raw,2_Projections\SingleGamePropProbabilities.csv,[],1.0,None,True,Poisson,P(X >= 1),0.008761393329232758,0.0087,-6.139332923275898e-05,False,-0.9043,-90.42999999999999,-0.09043,-0.009043,-0.0226075
2026-01-06,anaheim-ducks-at-washington-capitals,anaheim-ducks-at-washington-capitals,Player 1+ Goals,Anthony Beauvillier,,PlayNow,3.4,3.4,0.29411764705882354,2.4,0.024754186671723948,0.0256,0.0256,"2_Projections/single_game_probs.py:round(..., 4)",0.978,1.009,1.048,1.0,1.0,"['mu_adj_G', 'p_G_1plus']",p_G_1plus,Raw,2_Projections\SingleGamePropProbabilities.csv,[],1.0,None,True,Poisson,P(X >= 1),0.025275098398206075,0.0253,2.4901601793924505e-05,False,-0.91398,-91.398,-0.380825,-0.038082500000000005,-0.09520625
2026-01-06,anaheim-ducks-at-washington-capitals,anaheim-ducks-at-washington-capitals,Player 1+ Goals,Mikael Granlund,,PlayNow,4.25,4.25,0.23529411764705882,3.25,0.01872586363175081,0.0188,0.0188,"2_Projections/single_game_probs.py:round(..., 4)",0.999,1.009,0.996,1.0,1.0,"['mu_adj_G', 'p_G_1plus']",p_G_1plus,Raw,2_Projections\SingleGamePropProbabilities.csv,[],1.0,None,True,Poisson,P(X >= 1),0.01862438225984986,0.0186,-2.4382259849860255e-05,False,-0.92095,-92.095,-0.28336923076923076,-0.02833692307692308,-0.07084230769230769
2026-01-06,anaheim-ducks-at-washington-capitals,anaheim-ducks-at-washington-capitals,Player 1+ Goals,Radko Gudas,,PlayNow,17.0,17.0,0.058823529411764705,16.0,0.003286986701317961,0.0033,0.0033,"2_Projections/single_game_probs.py:round(..., 4)",0.999,1.009,0.996,1.0,1.0,"['mu_adj_G', 'p_G_1plus']",p_G_1plus,Raw,2_Projections\SingleGamePropProbabilities.csv,[],1.0,None,True,Poisson,P(X >= 1),0.003294560984561934,0.0033,5.439015438066068e-06,False,-0.9439,-94.39,-0.05899375,-0.005899375,-0.0147484375
2026-01-06,anaheim-ducks-at-washington-capitals,anaheim-ducks-at-washington-capitals,Player 1+ Goals,Cutter Gauthier,,PlayNow,2.9,2.9,0.3448275862068966,1.9,0.0450217572422945,0.0452,0.0452,"2_Projections/single_game_probs.py:round(..., 4)",0.999,1.009,0.996,1.0,1.0,"['mu_adj_G', 'p_G_1plus']",p_G_1plus,Raw,2_Projections\SingleGamePropProbabilities.csv,[],1.0,None,True,Poisson,P(X >= 1),0.04419369854459165,0.0442,6.301455408350143e-06,False,-0.87182,-87.182,-0.4588526315789474,-0.04588526315789474,-0.11471315789473685
2026-01-06,anaheim-ducks-at-washington-capitals,anaheim-ducks-at-washington-capitals,Player 1+ Goals,Jackson LaCombe,,PlayNow,6.75,6.75,0.14814814814814814,5.75,0.017630201397978155,0.0177,0.0177,"2_Projections/single_game_probs.py:round(..., 4)",0.999,1.009,0.996,1.0,1.0,"['mu_adj_G', 'p_G_1plus']",p_G_1plus,Raw,2_Projections\SingleGamePropProbabilities.csv,[],1.0,None,True,Poisson,P(X >= 1),0.017544275130325304,0.0175,-4.42751303253025e-05,False,-0.881875,-88.1875,-0.15336956521739128,-0.01533695652173913,-0.03834239130434782
2026-01-06,anaheim-ducks-at-washington-capitals,anaheim-ducks-at-washington-capitals,Player 1+ Goals,Ross Johnston,,PlayNow,13.0,13.0,0.07692307692307693,12.0,0.012450707201961975,0.0125,0.0125,"2_Projections/single_game_probs.py:round(..., 4)",0.999,1.009,0.996,1.0,1.0,"['mu_adj_G', 'p_G_1plus']",p_G_1plus,Raw,2_Projections\SingleGamePropProbabilities.csv,[],1.0,None,True,Poisson,P(X >= 1),0.012422199506118559,0.0124,-2.2199506118559045e-05,False,-0.8388,-83.88,-0.0699,-0.0069900000000000006,-0.017475
2026-01-06,anaheim-ducks-at-washington-capitals,anaheim-ducks-at-washington-capitals,Player 1+ Goals,Justin Sourdif,,PlayNow,3.85,3.85,0.2597402597402597,2.85,0.026784803547138802,0.0277,0.0277,"2_Projections/single_game_probs.py:round(..., 4)",0.978,1.009,1.048,1.0,1.0,"['mu_adj_G', 'p_G_1plus']",p_G_1plus,Raw,2_Projections\SingleGamePropProbabilities.csv,[],1.0,None,True,Poisson,P(X >= 1),0.02731987292686011,0.0274,8.012707313988926e-05,False,-0.89451,-89.45100000000001,-0.31386315789473684,-0.031386315789473686,-0.07846578947368421
